Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-11-09 00:00:00-05:00,52.119998931884766,52.56999969482422,51.75,52.0,21039400,0.0,0.0
2023-11-10 00:00:00-05:00,52.25,52.630001068115234,51.93000030517578,52.59000015258789,17369000,0.0,0.0
2023-11-13 00:00:00-05:00,52.47999954223633,52.63999938964844,52.09000015258789,52.22999954223633,14931600,0.0,0.0
2023-11-14 00:00:00-05:00,52.470001220703125,53.369998931884766,52.470001220703125,53.16999816894531,18331000,0.0,0.0
2023-11-15 00:00:00-05:00,53.27000045776367,53.43000030517578,53.040000915527344,53.279998779296875,32188200,0.0,0.0
2023-11-16 00:00:00-05:00,47.40999984741211,48.060001373291016,46.20000076293945,48.040000915527344,79057800,0.0,0.0
2023-11-17 00:00:00-05:00,48.04999923706055,48.36000061035156,47.72999954223633,47.7599983215332,32593700,0.0,0.0
2023-11-20 00:00:00-05:00,47.560001373291016,48.369998931884766,47.54999923706055,48.27000045776367,27421000,0.0,0.0
2023-11-21 00:00:00-05:00,48.27000045776367,48.349998474121094,47.65999984741211,47.79999923706055,21510500,0.0,0.0
2023-11-22 00:00:00-05:00,48.08000183105469,48.349998474121094,47.95000076293945,48.08000183105469,17308400,0.0,0.0
2023-11-24 00:00:00-05:00,48.09000015258789,48.400001525878906,48.04999923706055,48.36000061035156,8209500,0.0,0.0
2023-11-27 00:00:00-05:00,48.33000183105469,48.369998931884766,47.90999984741211,47.93000030517578,17651600,0.0,0.0
2023-11-28 00:00:00-05:00,47.95000076293945,48.189998626708984,47.810001373291016,47.849998474121094,16360900,0.0,0.0
2023-11-29 00:00:00-05:00,48.11000061035156,48.439998626708984,48.029998779296875,48.04999923706055,16700500,0.0,0.0
2023-11-30 00:00:00-05:00,48.189998626708984,48.5,47.939998626708984,48.380001068115234,37165000,0.0,0.0
2023-12-01 00:00:00-05:00,48.279998779296875,48.779998779296875,48.02000045776367,48.470001220703125,18740800,0.0,0.0
2023-12-04 00:00:00-05:00,48.060001373291016,48.18000030517578,47.779998779296875,48.04999923706055,17812900,0.0,0.0
2023-12-05 00:00:00-05:00,47.75,47.959999084472656,47.59000015258789,47.93000030517578,20985000,0.0,0.0
2023-12-06 00:00:00-05:00,48.06999969482422,48.209999084472656,47.650001525878906,47.70000076293945,19535500,0.0,0.0
2023-12-07 00:00:00-05:00,47.90999984741211,48.36000061035156,47.79999923706055,48.2599983215332,20478500,0.0,0.0
2023-12-08 00:00:00-05:00,48.279998779296875,48.59000015258789,48.209999084472656,48.380001068115234,16038900,0.0,0.0
